phi,rho,eps,theta,alpha,mu,r,b,gamma,CM55,CM75,Response
0.2035,0.25694,0.22165,7.864e-06,6.6284e-08,0.0021269,0.083762,1.5741e-12,1.6613e-06,469.8247,24.2308,NR
0.1396,0.18897,0.13906,8.392e-06,6.1943e-08,0.0076717,0.082635,1.2747e-12,1.5143e-06,11.0692,1.2659e-11,NR
0.2815,0.33368,0.11198,5.762e-06,6.719e-08,0.003855,0.084374,1.4893e-12,1.8624e-06,113.273,0.00066462,NR
0.24049,0.4365,0.23884,6.1e-06,6.3912e-08,0.0061058,0.0835,1.917e-12,1.7284e-06,222.4696,0.0012025,NR
0.25496,0.25812,0.12339,9.0576e-06,7.1589e-08,0.0060176,0.089434,6.3767e-13,2.3746e-06,58.9218,4.1309e-05,NR
0.28138,0.38449,0.10974,8.6343e-06,4.9126e-08,0.0054298,0.086895,1.424e-12,1.8932e-06,187524.9856,398742.5072,CR
0.18076,0.19761,0.16551,7.746e-06,4.8799e-08,0.0057509,0.089296,7.4287e-13,1.9477e-06,1014100.1676,2824193.3104,CR
0.40342,0.42945,0.11977,6.77e-06,7.1516e-08,0.0065697,0.088802,1.6765e-12,2.8573e-06,553505.2445,1283937.1813,CR
0.22793,0.32081,0.10264,7.149e-06,5.8053e-08,0.0058386,0.088385,6.4955e-13,2.4554e-06,308939.8879,489444.0422,CR
0.11817,0.29688,0.19761,5.463e-06,6.2214e-08,0.0043896,0.077037,8.4127e-13,1.5397e-06,213313.7285,418452.2046,CR
0.22475,0.22676,0.10502,4.1411e-06,5.3322e-08,0.0072103,0.087522,7.4163e-13,2.0204e-06,566995.7904,1760172.2446,CR
0.25006,0.34039,0.099874,9.4045e-06,7.1911e-08,0.0030415,0.076702,1.8968e-12,1.8323e-06,228334.2685,473411.017,CR
0.33623,0.37781,0.15509,6.1619e-06,6.8278e-08,0.003216,0.078605,1.0566e-12,1.7671e-06,762676.4023,1822331.9074,CR
0.34851,0.35655,0.15987,7.5948e-06,6.5457e-08,0.0055995,0.089722,1.1721e-12,2.03e-06,0.020448,-1.7791e-13,NR
0.2411,0.329,0.10179,5.4169e-06,6.3056e-08,0.0051096,0.087848,8.8303e-13,2.2661e-06,40252.9836,184327.4237,CR
0.4112,0.56438,0.19855,3.831e-06,5.7527e-08,0.0020112,0.089939,2.0313e-12,1.5865e-06,8.6814e-10,-1.6793e-15,NR
0.19,0.24411,0.065162,7.3934e-06,4.4466e-08,0.0067458,0.087462,1.3389e-12,1.5782e-06,3842.4276,56151.9951,CR
0.16183,0.25325,0.22514,9.4653e-06,6.1454e-08,0.002155,0.087141,1.2052e-12,2.2433e-06,941545.0096,1604791.4669,CR
0.10654,0.23795,0.1553,3.2428e-06,6.8416e-08,0.0045771,0.090167,6.1319e-13,2.7045e-06,119455.3982,251771.3058,CR
0.27673,0.36462,0.14379,3.4316e-06,6.0138e-08,0.0026668,0.078708,1.2541e-12,1.5591e-06,327815.3691,758942.6799,CR
0.34036,0.42935,0.12966,5.2036e-06,5.9195e-08,0.0029263,0.083025,6.4767e-13,1.8978e-06,339915.5819,670871.3432,CR
0.13769,0.26516,0.20947,4.5293e-06,7.1614e-08,0.0035549,0.080127,1.222e-12,1.889e-06,426342.1309,777149.9145,CR
0.31009,0.45808,0.171,4.4295e-06,6.2058e-08,0.0068266,0.089718,1.802e-12,1.7328e-06,3.4406e-10,7.7661e-16,NR
0.11645,0.2356,0.13444,7.1433e-06,6.9278e-08,0.0053643,0.089186,1.7845e-12,1.8843e-06,7.3591e-13,-2.005e-15,NR
0.40108,0.45189,0.088363,6.8891e-06,5.6011e-08,0.0079053,0.087181,6.4896e-13,1.8601e-06,2671.5194,61323.8448,CR
0.38257,0.4847,0.23206,2.4331e-06,7.0487e-08,0.004441,0.087865,1.0942e-12,2.2299e-06,18648.9567,426925.2713,CR
0.29916,0.34709,0.1047,4.5224e-06,7.0337e-08,0.0069622,0.080982,1.9355e-12,1.7337e-06,1510.181,3972.6429,CR
0.26968,0.35355,0.092326,7.8097e-06,6.4893e-08,0.0076148,0.090137,1.7424e-12,2.8712e-06,258422.1673,411265.8944,CR
0.26611,0.26615,0.084713,2.4328e-06,6.8051e-08,0.0050249,0.085239,2.0289e-12,1.662e-06,4.6501e-05,1.6915e-14,NR
0.36036,0.40986,0.17738,9.1539e-06,6.7716e-08,0.0068411,0.081221,1.7774e-12,1.8182e-06,600988.0967,1563662.0019,CR
0.4052,0.47676,0.20308,4.7453e-06,6.8172e-08,0.004355,0.088739,7.4945e-13,2.2171e-06,3271.4395,311325.1516,CR
0.34284,0.44376,0.11301,7.7012e-06,6.5116e-08,0.0049032,0.089723,6.0947e-13,2.132e-06,0.0013611,-4.879e-14,NR
0.30104,0.33579,0.17947,4.2935e-06,5.0565e-08,0.0067976,0.088165,1.3325e-12,1.5389e-06,210.6461,0.00035548,NR
0.14334,0.28829,0.17123,4.5616e-06,5.7285e-08,0.0043117,0.088983,2.173e-12,2.1121e-06,31245.7447,177813.5511,CR
0.21209,0.21996,0.21631,9.2102e-06,6.8208e-08,0.0073347,0.085017,1.0679e-12,1.8351e-06,124104.7709,2270634.1248,CR
0.22673,0.38966,0.21163,3.8862e-06,5.1005e-08,0.0030793,0.088642,2.0939e-12,2.1302e-06,555433.4234,727395.2012,CR
0.171,0.25174,0.13553,5.3488e-06,6.5995e-08,0.0040866,0.08958,1.2148e-12,2.1008e-06,0.0022766,8.6627e-14,NR
0.39861,0.43491,0.22677,4.0665e-06,6.3998e-08,0.0071124,0.082884,5.8818e-13,1.7074e-06,791188.3627,2377000.2977,CR
0.13463,0.22439,0.14382,3.7779e-06,6.5721e-08,0.0078688,0.081728,1.6694e-12,1.5175e-06,0.53423,-1.7662e-13,NR
0.23887,0.33425,0.197,3.1331e-06,5.6302e-08,0.0060729,0.082351,1.9621e-12,1.7409e-06,774944.9389,1249260.1031,CR
0.31288,0.34851,0.14368,3.9537e-06,6.1538e-08,0.0042868,0.086752,1.6284e-12,1.7494e-06,2.0014,-6.9671e-13,NR
0.3995,0.51913,0.13035,9.5317e-06,6.2892e-08,0.0055619,0.089739,6.1345e-13,1.8945e-06,1.4897e-07,1.6842e-15,NR
0.23367,0.26307,0.075004,6.4972e-06,6.3551e-08,0.0058074,0.086801,1.3093e-12,2.069e-06,5390.337,142756.4673,CR
0.18098,0.19285,0.07673,7.7378e-06,4.9735e-08,0.0022359,0.080683,1.5985e-12,1.5033e-06,385168.2949,1309322.9426,CR
0.12885,0.15584,0.072817,4.3315e-06,5.6415e-08,0.0026386,0.088743,1.8324e-12,1.9309e-06,297.6696,2.105,NR
0.23046,0.23651,0.11791,4.5715e-06,4.5718e-08,0.0054063,0.0883,1.0731e-12,1.7386e-06,564042.1608,1925444.9764,CR
0.25461,0.35072,0.23715,9.1237e-06,6.8141e-08,0.0050087,0.087901,1.5646e-12,2.6156e-06,1024758.893,1528757.1878,CR
0.25252,0.41323,0.18422,5.6933e-06,6.9345e-08,0.0078948,0.085252,7.2501e-13,2.1308e-06,6112.843,39448.4666,CR
0.17158,0.22661,0.15953,4.0533e-06,5.7575e-08,0.0072091,0.089452,1.8692e-12,1.6915e-06,0.00011174,-6.7092e-14,NR
